filename,width,height,class,xmin,ymin,xmax,ymax
089_jpg.rf.c2f8e008bbbcb0c64b7bf977afa0fbe9.jpg,640,640,semaforo pedestre,51,37,341,629
089_jpg.rf.c2f8e008bbbcb0c64b7bf977afa0fbe9.jpg,640,640,verde pedestre,128,410,259,568
signal-light-72-_jpg.rf.c2a8c3564fe59b11ad57f7e628fa1adf.jpg,640,640,semaforo pedestre,51,44,526,640
signal-light-72-_jpg.rf.c2a8c3564fe59b11ad57f7e628fa1adf.jpg,640,640,vermelho pedestre,219,104,399,361
signal-light-72-_jpg.rf.c2a8c3564fe59b11ad57f7e628fa1adf.jpg,640,640,verde pedestre,176,402,372,613
22_jpg.rf.c26a2978c05ca2046b70f5a5f4304c33.jpg,640,640,semaforo pedestre,230,19,488,574
22_jpg.rf.c26a2978c05ca2046b70f5a5f4304c33.jpg,640,640,semaforo pedestre,282,55,435,292
25_jpg.rf.c31f8626f685912c8c90814edc9d292f.jpg,640,640,semaforo pedestre,189,117,392,467
25_jpg.rf.c31f8626f685912c8c90814edc9d292f.jpg,640,640,vermelho pedestre,279,172,324,290
green_250_jpg.rf.c3f37a7877389b781943406d73450d40.jpg,640,640,verde pedestre,143,395,317,531
green_250_jpg.rf.c3f37a7877389b781943406d73450d40.jpg,640,640,semaforo pedestre,10,0,475,617
signal-light-59-_jpg.rf.c394c9f145738c0a470a5e445e4fefed.jpg,640,640,semaforo pedestre,402,200,525,389
signal-light-59-_jpg.rf.c394c9f145738c0a470a5e445e4fefed.jpg,640,640,vermelho pedestre,445,247,496,296
green_112_jpg.rf.c4dfff4e13fe00076e8def15735a2783.jpg,640,640,semaforo pedestre,0,72,511,545
green_112_jpg.rf.c4dfff4e13fe00076e8def15735a2783.jpg,640,640,verde pedestre,103,281,386,444
green_257_jpg.rf.c3ac79f486a5650e02486bd295004382.jpg,640,640,semaforo pedestre,4,2,483,588
green_257_jpg.rf.c3ac79f486a5650e02486bd295004382.jpg,640,640,verde pedestre,242,143,376,508
signal-light-99-_jpg.rf.c536ca4bb211ee97f2d1897221759c00.jpg,640,640,semaforo pedestre,416,284,508,438
signal-light-99-_jpg.rf.c536ca4bb211ee97f2d1897221759c00.jpg,640,640,semaforo pedestre,177,138,305,273
signal-light-99-_jpg.rf.c536ca4bb211ee97f2d1897221759c00.jpg,640,640,semaforo pedestre,50,116,112,182
signal-light-99-_jpg.rf.c536ca4bb211ee97f2d1897221759c00.jpg,640,640,semaforo pedestre,537,146,588,226
signal-light-99-_jpg.rf.c536ca4bb211ee97f2d1897221759c00.jpg,640,640,vermelho pedestre,77,120,99,144
signal-light-99-_jpg.rf.c536ca4bb211ee97f2d1897221759c00.jpg,640,640,vermelho pedestre,210,151,250,193
signal-light-99-_jpg.rf.c536ca4bb211ee97f2d1897221759c00.jpg,640,640,verde pedestre,452,341,469,390
signal-light-99-_jpg.rf.c536ca4bb211ee97f2d1897221759c00.jpg,640,640,verde pedestre,549,178,571,204
green_183_jpg.rf.c595e4e31dd074c4394813ae8016731a.jpg,640,640,semaforo pedestre,261,24,614,613
green_183_jpg.rf.c595e4e31dd074c4394813ae8016731a.jpg,640,640,semaforo pedestre,375,299,531,543
signal-light-17-_jpg.rf.c4b375bb28e7d31e357fcc238e570c24.jpg,640,640,semaforo pedestre,88,1,519,640
signal-light-17-_jpg.rf.c4b375bb28e7d31e357fcc238e570c24.jpg,640,640,vermelho pedestre,203,374,397,590
signal-light-17-_jpg.rf.c4b375bb28e7d31e357fcc238e570c24.jpg,640,640,verde pedestre,147,90,447,278
green_226_jpg.rf.c533977d18bd8ef523788c17a445355a.jpg,640,640,semaforo pedestre,155,7,429,578
green_226_jpg.rf.c533977d18bd8ef523788c17a445355a.jpg,640,640,verde pedestre,237,161,342,329
green_226_jpg.rf.c533977d18bd8ef523788c17a445355a.jpg,640,640,verde pedestre,235,352,405,557
green_153_jpg.rf.c3a3aec913bd52895e028e3417be6876.jpg,640,640,semaforo pedestre,251,0,633,622
green_153_jpg.rf.c3a3aec913bd52895e028e3417be6876.jpg,640,640,verde pedestre,304,272,575,474
traffic-light-565-_jpg.rf.c45d82682b991253bba480dcd6148922.jpg,640,640,verde veiculos,82,91,331,195
signal-light-118-_jpg.rf.c40fc39b479ec157ce9db2cef8a8c2da.jpg,640,640,verde pedestre,573,294,630,464
signal-light-118-_jpg.rf.c40fc39b479ec157ce9db2cef8a8c2da.jpg,640,640,verde pedestre,242,330,324,498
signal-light-118-_jpg.rf.c40fc39b479ec157ce9db2cef8a8c2da.jpg,640,640,vermelho pedestre,155,73,242,275
signal-light-118-_jpg.rf.c40fc39b479ec157ce9db2cef8a8c2da.jpg,640,640,vermelho pedestre,497,42,569,217
green_307_jpg.rf.c349f1646d74d405785a44b0255b8be7.jpg,640,640,verde pedestre,247,209,345,427
green_307_jpg.rf.c349f1646d74d405785a44b0255b8be7.jpg,640,640,semaforo pedestre,59,132,462,520
traffic-light-472-_jpg.rf.c2f95632c7a5c93924692a5b4a6c0b6f.jpg,640,640,vermelho veiculos,157,346,179,404
traffic-light-472-_jpg.rf.c2f95632c7a5c93924692a5b4a6c0b6f.jpg,640,640,vermelho veiculos,439,148,464,209
traffic-light-974-_jpg.rf.c6082ad59c3baa5584ebf8b0b017a08f.jpg,640,640,vermelho veiculos,56,102,164,366
signal-light-70-_jpg.rf.c68d3814c9a5f87121dca685e8cc2fb5.jpg,640,640,vermelho pedestre,220,60,385,228
signal-light-70-_jpg.rf.c68d3814c9a5f87121dca685e8cc2fb5.jpg,640,640,vermelho pedestre,207,268,390,435
signal-light-84-_jpg.rf.c661d99557d3b17e03f72dab0a686d2a.jpg,640,640,verde pedestre,167,375,580,640
signal-light-84-_jpg.rf.c661d99557d3b17e03f72dab0a686d2a.jpg,640,640,vermelho pedestre,170,62,523,342
012_jpg.rf.c624f5d70ea6c81aa4eb0b063b03dda7.jpg,640,640,semaforo pedestre,152,25,495,562
012_jpg.rf.c624f5d70ea6c81aa4eb0b063b03dda7.jpg,640,640,verde pedestre,210,274,452,462
green_289_jpg.rf.c556fc4987e4143538e786167a6c5314.jpg,640,640,verde pedestre,153,317,310,466
green_289_jpg.rf.c556fc4987e4143538e786167a6c5314.jpg,640,640,semaforo pedestre,103,86,383,544
signal-light-93-_jpg.rf.c5917bec7c781ed8318ff00426296fdf.jpg,640,640,verde pedestre,173,423,355,588
signal-light-93-_jpg.rf.c5917bec7c781ed8318ff00426296fdf.jpg,640,640,vermelho pedestre,210,189,394,372
080_jpg.rf.c5abf3d1ae33b995c80edd1ab4dc678a.jpg,640,640,semaforo pedestre,221,100,321,246
080_jpg.rf.c5abf3d1ae33b995c80edd1ab4dc678a.jpg,640,640,verde pedestre,250,164,290,212
green_279_jpg.rf.c51a8ccca95a46c5f94f8f50dc4d51f5.jpg,640,640,verde pedestre,178,30,512,501
traffic-light-195-_jpg.rf.c705b85f98913b6a3693b220b29c7f53.jpg,640,640,verde veiculos,75,97,117,200
traffic-light-195-_jpg.rf.c705b85f98913b6a3693b220b29c7f53.jpg,640,640,verde veiculos,534,387,588,518
green_279_jpg.rf.c70be6c0f2a7a08171798c890acb46f4.jpg,640,640,verde pedestre,126,134,472,532
signal-light-114-_jpg.rf.c6c4739e8c99fad679d711962547d70a.jpg,640,640,semaforo pedestre,455,75,518,167
signal-light-114-_jpg.rf.c6c4739e8c99fad679d711962547d70a.jpg,640,640,verde pedestre,479,107,502,145
signal-light-25-_jpg.rf.c757a27b24817cb7ab3b1c7fcce81863.jpg,640,640,vermelho pedestre,152,45,301,250
signal-light-25-_jpg.rf.c757a27b24817cb7ab3b1c7fcce81863.jpg,640,640,vermelho pedestre,418,150,483,304
signal-light-25-_jpg.rf.c757a27b24817cb7ab3b1c7fcce81863.jpg,640,640,semaforo pedestre,50,7,360,517
signal-light-25-_jpg.rf.c757a27b24817cb7ab3b1c7fcce81863.jpg,640,640,semaforo pedestre,328,65,562,543
green_192_jpg.rf.c6ef72bfcdc97f03b693c36d138d2a92.jpg,640,640,verde pedestre,213,257,479,611
green_180_jpg.rf.c77511d2b8bc8ecef330fef374d68fdb.jpg,640,640,semaforo pedestre,188,7,467,616
green_180_jpg.rf.c77511d2b8bc8ecef330fef374d68fdb.jpg,640,640,verde pedestre,286,327,375,516
